Date,Tweet,Likes,Retweets,URL
2025-01-09 18:39:54+00:00,"NOSOTROS GANAMOS Y VENCIMOS EL MIEDO.

No hay imposibles si los venezolanos vamos TODOS, unidos. https://t.co/yBZL6NljC1",120748,30045,https://twitter.com/MariaCorinaYA/status/1877425078402462052
2025-01-09 18:33:19+00:00,"Esto se acabó. 
VENEZUELA SERÁ LIBRE. https://t.co/EHQSgpYLOi",356068,65479,https://twitter.com/MariaCorinaYA/status/1877423422096974326
2025-01-09 18:30:59+00:00,"RT @ConVzlaComando: ¡María Corina en la calle con la gente! 

#GloriaBravoPueblo que vence el miedo y defiende la verdad: ¡GANAMOS! 

@Mari…",0,3022,https://twitter.com/MariaCorinaYA/status/1877422836152737812
2025-01-09 18:27:34+00:00,"Lo dijimos, hoy nos encontrábamos en todas las calles de Venezuela y el mundo. 

Yo estoy aquí, contigo, y HASTA EL FINAL. https://t.co/ELeZlYNlcg",130381,30289,https://twitter.com/MariaCorinaYA/status/1877421977272451408
2025-01-09 18:24:12+00:00,"AQUÍ ESTOY, CON LOS VENEZOLANOS. 

GLORIA AL BRAVO PUEBLO!! https://t.co/ycKSPWM0wx",54384,13432,https://twitter.com/MariaCorinaYA/status/1877421130610274681
2025-01-09 18:13:51+00:00,RT @EdmundoGU: ¿Miedo? Los venezolanos tenemos coraje. La verdad no tiene miedo ¡VAMOS!,0,27779,https://twitter.com/MariaCorinaYA/status/1877418522009116834
2025-01-09 17:49:47+00:00,"RT @ConVzlaComando: ¡El punto de encuentro es #Chacao! 

No hay indicaciones hacia la Esfera de Soto. Marchas de Caracas se juntarán en Cha…",0,4848,https://twitter.com/MariaCorinaYA/status/1877412465673200089
2025-01-09 17:33:53+00:00,"RT @ConVzlaComando: ¡VUELVAN CARAS! 

Nunca + dictadura 🇻🇪🇻🇪🇻🇪 https://t.co/QiMbyhsD4Y",0,2863,https://twitter.com/MariaCorinaYA/status/1877408467067043905
2025-01-09 17:23:38+00:00,"Tovar, Mérida.
Venezuela.
9 de enero 2025. https://t.co/EeNrLXthgb",37021,6899,https://twitter.com/MariaCorinaYA/status/1877405884420173966
2025-01-09 17:09:07+00:00,"JUNTOS, y de la mano de Dios. https://t.co/szofshMDRV",30094,6018,https://twitter.com/MariaCorinaYA/status/1877402235295904241
2025-01-09 17:08:20+00:00,"RT @ConVzlaComando: ¡Pendientes! En #Caracas se unen las concentraciones de Santa Fe, El Líder y Chacao. 

Así viene bajando la gente de Sa…",0,2457,https://twitter.com/MariaCorinaYA/status/1877402038151094491
2025-01-09 16:53:23+00:00,"RT @ConVzlaComando: LIBERTAD desde #Chacao. 

Caracas también salió a gritar #GloriaBravoPueblo. 

#9Ene https://t.co/v7gDqkkWHv",0,2019,https://twitter.com/MariaCorinaYA/status/1877398273930981846
2025-01-09 16:52:42+00:00,"RT @VenteMerida: ¡En Tovar nadie se doblega!

#GloriaAlBravoPueblo https://t.co/8DjEnPWzxv",0,5620,https://twitter.com/MariaCorinaYA/status/1877398103562563716
2025-01-09 16:52:40+00:00,"RT @VenteMerida: Los merideños entonamos nuestro Himno Nacional.

Ellos quieren destruirnos la moralmente. No podrán quitarnos la dignidad…",0,3064,https://twitter.com/MariaCorinaYA/status/1877398094288978363
2025-01-09 16:52:08+00:00,"San Cristóbal, Táchira.
Venezuela.
9 de enero 2025. https://t.co/XskJ9VrMwP",67062,13377,https://twitter.com/MariaCorinaYA/status/1877397958125084761
2025-01-09 16:32:36+00:00,"RT @ConVzlaComando: ¡Se llenó el Distribuidor de Santa Fe! Arriba #Caracas gritando #GloriaBravoPueblo. 

Somos millones. 

#9Ene https://t…",0,2506,https://twitter.com/MariaCorinaYA/status/1877393042421744006
2025-01-09 16:32:03+00:00,"Tovar, Mérida. 
Venezuela.
9 de enero 2025. https://t.co/rdFY78Ogc7",46978,10676,https://twitter.com/MariaCorinaYA/status/1877392903372177818
2025-01-09 16:09:35+00:00,"A esta hora, en TODA Venezuela la gente se está encontrando en la calle…cada vez somos más!!!

Tanto así, que en sitios donde fuerzas de seguridad habían tomado los puntos de concentración anunciados, cuando comenzó a llegar la gente, se retiraron.

Serenidad y firmeza.… https://t.co/Tpf7AJKAeO",76996,18578,https://twitter.com/MariaCorinaYA/status/1877387249953726525
2025-01-09 16:07:50+00:00,"LIBERTAD, para Venezuela, para nuestros presos políticos, para todos.

#GloriaBravoPueblo 

Santa Fe, Miranda. https://t.co/5z9JuIkByV",31600,8316,https://twitter.com/MariaCorinaYA/status/1877386812563280278
2025-01-09 15:55:58+00:00,RT @NahirMota: #Apure|San Juan de Payara la tierra del Negro Primero sigue dando muestras de esa lucha incansable para recuperar la democra…,0,864,https://twitter.com/MariaCorinaYA/status/1877383825946280178
2025-01-09 15:55:39+00:00,"RT @ConVzlaComando: #Amazonas hoy tricolor 🇻🇪

Viva el #GloriaBravoPueblo y los venezolanos de bien que exigen libertad. 

#9Ene https://t.…",0,818,https://twitter.com/MariaCorinaYA/status/1877383744270614999
2025-01-09 15:54:32+00:00,"The Government of Canada recognizes @EdmundoGU as the rightful President-Elect of Venezuela!

Thank you, Mélanie Joly @melaniejoly, for recognizing @EdmundoGU as the rightful President-elect of Venezuela. 

Your support strengthens our people's firm conviction that we will soon… https://t.co/3qth1fPDTq",3581,898,https://twitter.com/MariaCorinaYA/status/1877383461750661362
2025-01-09 15:54:06+00:00,"Ahora en #Bolívar! Los venezolanos avanzamos, pacíficamente y UNIDOS. 

Los ciudadanos hicieron devolver a un camión de la Guardia en el municipio Heres.

VENEZUELA SERÁ LIBRE! 

#GloriaBravoPueblo https://t.co/Y5LfwkX1HB",29867,8113,https://twitter.com/MariaCorinaYA/status/1877383353474720083
2025-01-09 15:49:59+00:00,"El Gobierno de Canadá reconoce a @EdmundoGU como Presidente-Electo de Venezuela!

Gracias, Ministra de Asuntos Exteriores de Canadá, Mélanie Joly @melaniejoly por su apoyo incondicional a la voluntad soberana del pueblo venezolano. 

Sus palabras reafirman nuestra convicción de… https://t.co/clqh2mqHNt https://t.co/3yYDmDcYP7",28553,7540,https://twitter.com/MariaCorinaYA/status/1877382317712228354
2025-01-09 15:47:36+00:00,"RT @ConVzlaComando: Santa Bárbara de #Barinas salió hoy #9Ene con su bandera a la calle. 

Vamos juntos, todos, que nadie deje de gritar #G…",0,2191,https://twitter.com/MariaCorinaYA/status/1877381720728547425
2025-01-09 15:47:31+00:00,"RT @ConVzlaComando: #NuevaEsparta canta el Himno frente a policías y funcionarios. 

¡Venezuela está unida en un mismo deseo de cambio! 

#…",0,1595,https://twitter.com/MariaCorinaYA/status/1877381697114603814
2025-01-09 15:43:34+00:00,"RT @EdmundoGU: María  Corina, desde aquí, contigo y todo el pueblo venezolano ¡VAMOS!",0,13042,https://twitter.com/MariaCorinaYA/status/1877380705744806366
2025-01-09 15:39:47+00:00,"RT @ConVzlaComando: Sacaron a funcionarios, reprimieron y aún así la gente se quedó concentrada en Maracaibo. 

#Zulia valiente y firme en…",0,3369,https://twitter.com/MariaCorinaYA/status/1877379752308208040
2025-01-09 15:33:22+00:00,"RT @ConVzlaComando: Cumaná cantando el Himno #GloriaBravoPueblo. 

Vamos, #Sucre. Somos millones exigiendo lo mismo: fuera al dictador. 

#…",0,1415,https://twitter.com/MariaCorinaYA/status/1877378135714341293
2025-01-09 15:33:16+00:00,"RT @ConVzlaMiranda: ¡Llegó la hora de recuperar nuestra libertad! 🇻🇪

Desde Los Salias, Redoma de Rosalito, nos sumamos y estamos presentes…",0,1325,https://twitter.com/MariaCorinaYA/status/1877378112540795144
2025-01-09 15:33:01+00:00,"RT @EdmundoGU: Con el presidente de República Dominicana, Luis Abinader @luisabinader, en el Palacio Nacional https://t.co/7mIrOrCXfK",0,5758,https://twitter.com/MariaCorinaYA/status/1877378050339303502
2025-01-09 15:24:56+00:00,"RT @ConVzlaComando: ¡Que se escuche el Himno #GloriaBravoPueblo en el mundo entero! 

Así suena en #Barinas. 

#9Ene https://t.co/sMUO5ZnXet",0,1654,https://twitter.com/MariaCorinaYA/status/1877376014214385790
2025-01-09 15:24:24+00:00,"Hoy somos una sociedad unida, fuerte, decidida y en la calle!! 

#GloriaBravoPueblo

El Líder, Caracas. https://t.co/v3CQeUHsEb",37480,8199,https://twitter.com/MariaCorinaYA/status/1877375881745756578
2025-01-09 15:22:15+00:00,"#Anzoátegui!!! 
Nuestro punto de encuentro en el distribuidor Fabricio Ojeda, Barcelona, también fue tomado por cuerpos policiales, pero nuestro pueblo llegó pacíficamente y se retiraron. 

VAMOS TODOS! 
#GloriaBravoPueblo https://t.co/PoiSb9DhJK",28359,7890,https://twitter.com/MariaCorinaYA/status/1877375341137694922
2025-01-09 15:20:40+00:00,"RT @ConVzlaComando: En Chacao, uno de los puntos de Caracas, la gente canta y grita #GloriaBravoPueblo. 

¡Somos millones exigiendo lo mism…",0,2440,https://twitter.com/MariaCorinaYA/status/1877374940954976548
2025-01-09 15:09:33+00:00,#GloriaBravoPueblo desde nuestros Llanos! 🇻🇪 https://t.co/d8Gp8ubuKw,7242,1636,https://twitter.com/MariaCorinaYA/status/1877372142628561190
2025-01-09 15:09:00+00:00,"Táchira valiente y en las calles! 
Un río crecido que se desbordará hasta el final. 
#GloriaBravoPueblo https://t.co/Gn4x7hrAf8",10094,2691,https://twitter.com/MariaCorinaYA/status/1877372003478298958
2025-01-09 15:08:36+00:00,"Grande Mérida!! 

La policía había tomado nuestro punto de encuentro en la Av. Las Américas, pero la gente igual LLEGÓ y la policía se retiró. Nada es imposible si vamos juntos.

#GloriaBravoPueblo https://t.co/8QMOpbvLOk",30301,6299,https://twitter.com/MariaCorinaYA/status/1877371905079931098
2025-01-09 15:01:38+00:00,"RT @ConVzlaComando: #Anzoátegui movilizada en Barcelona y las principales ciudades del estado. 

¡Venezuela se cansó y le recuerda al régim…",0,1889,https://twitter.com/MariaCorinaYA/status/1877370149289775283
2025-01-09 14:57:57+00:00,"RT @ConVzlaComando: Arriba #Miranda. Los Teques demostrando su valentía un día como hoy. 

#GloriaBravoPueblo que vence al tirano en las ca…",0,1163,https://twitter.com/MariaCorinaYA/status/1877369223825035437
2025-01-09 14:50:45+00:00,"RT @ConVzlaComando: ¡Somos más! Como un río crecido, venezolanos en Santa Fe logran que efectivos del Sebin se retiren el sitio. 

#Caracas…",0,4210,https://twitter.com/MariaCorinaYA/status/1877367411675922857
2025-01-09 14:49:09+00:00,"RT @PedroDeMendonca: El corazón de Venezuela comienza a LATIR DURO este #9Ene.
A esta hora, ciudadanos comienzan a llegar a la plaza Sucre…",0,1054,https://twitter.com/MariaCorinaYA/status/1877367010021060627
2025-01-09 14:44:19+00:00,"RT @ConVzlaComando: Bravo, Tucupita. #DeltaAmacuro alza la voz en defensa de su derechos. 

Toda Venezuela en la calle gritando #GloriaBrav…",0,1202,https://twitter.com/MariaCorinaYA/status/1877365793194700914
2025-01-09 14:42:25+00:00,GLORIA AL BRAVO PUEBLO DESDE CARACAS!! https://t.co/ssVIoyL5hG,67824,15559,https://twitter.com/MariaCorinaYA/status/1877365313773109725
2025-01-09 14:34:14+00:00,"RT @VenteMerida: ¡Tovar en la calle!

El pueblo unido jamás será vencido.

#GloriaAlBravoPueblo https://t.co/ArKQaEB2s1",0,2421,https://twitter.com/MariaCorinaYA/status/1877363254571192361
2025-01-09 14:33:54+00:00,"RT @BolivarConVzla: #AHORA | #9ENE

Arrancando motores en Puerto Ordaz, redoma de Chilemex. https://t.co/oyXum1V2Ni",0,1592,https://twitter.com/MariaCorinaYA/status/1877363171100332479
2025-01-09 14:33:49+00:00,"RT @ConVzlaComando: #Monagas sin miedo y de frente en la calle: Maturín y municipio Piar.

#GloriaBravoPueblo dándolo todo por una Venezuel…",0,2106,https://twitter.com/MariaCorinaYA/status/1877363150355415113
2025-01-09 14:33:44+00:00,"RT @ConVzlaComando: #Barinas capital también dando la cara. 

¡Los venezolanos sabemos que somos mayoría por el cambio! 

Arriba el #Gloria…",0,1840,https://twitter.com/MariaCorinaYA/status/1877363128234622990
2025-01-09 14:32:50+00:00,RT @Gbastidas: Caraqueños también comienzan a concentrarse en el Distribuidor Santa Fe este #9E. https://t.co/TYbMYLALaL,0,4031,https://twitter.com/MariaCorinaYA/status/1877362901675090132
2025-01-09 14:31:23+00:00,"RT @CaraboboConVzla: En #Naguanagua empiezan a concentrase en la Campiña. También en Paseo La Granja.

Que retumbe el #GloriaBravoPueblo en…",0,1685,https://twitter.com/MariaCorinaYA/status/1877362537202700463
2025-01-09 14:24:58+00:00,"RT @ConVzlaComando: Aguasay, #Monagas. 

¡Todo el mundo saliendo en paz a ejercer su derecho a ser libres! 

#GloriaBravoPueblo 
#9Ene. htt…",0,983,https://twitter.com/MariaCorinaYA/status/1877360924555702346
2025-01-09 14:23:30+00:00,RT @NahirMota: 9Ene Apureños inician su concentración en el Paseo Libertador de San Fernando atendiendo el llamado de nuestra líder @MariaC…,0,1216,https://twitter.com/MariaCorinaYA/status/1877360552499916815
2025-01-09 14:23:23+00:00,"Guárico en la calle! 
Con orgullo, con coraje, con corazón venezolano. 💪🏻 https://t.co/ZOpX5p0LlK",14464,3934,https://twitter.com/MariaCorinaYA/status/1877360524033220843
2025-01-09 14:19:02+00:00,"RT @ConVzlaComando: #SUCRE en la calle. 

Así se concentran ya los venezolanos en la Vicente Paul de Cumaná. 

#GloriaBravoPueblo y a los v…",0,1921,https://twitter.com/MariaCorinaYA/status/1877359431991615921
